Model,AUROC,AUPR,Brier
Marcinkevics 2024 - Radiomics+RF (best),0.77,0.58,0.15
Marcinkevics 2024 - MVBM-LSTM (black-box),0.74,0.58,0.22
Marcinkevics 2024 - ResNet-18,0.73,0.52,0.18
Marcinkevics 2024 - CBM (interpretable),0.68,0.44,0.23
This work - RF (cost-sensitive),0.9147909314783315,0.6354083989882259,0.08263484808179178
This work - Balanced RF,0.9143339511030998,0.6167108733464239,0.11592399167733676
This work - EBM,0.9142349386884664,0.6810103828470819,0.07716179473420659
This work - CatBoost,0.9072025184696235,0.6435189320467976,0.08828981141201027
This work - XGBoost,0.905019167787961,0.6252327613464197,0.09155709594488144
This work - Elastic-net LogReg,0.8914646221026177,0.6417281935205617,0.10269644554355759
